-----INSERCIONES DE CLIENTES--------------
INSERT INTO producto VALUES(28,'Colchoneta',30000);
INSERT INTO producto VALUES(29,'Televisor',450000);
INSERT INTO producto VALUES(30,'Persiana',125000);



-----INSERCIONES DE PEDIDOS----------------
INSERT INTO pedido VALUES(1,23,21,10,'3/05/13');
INSERT INTO pedido VALUES(2,22,15,3,'9/05/13');
INSERT INTO pedido VALUES(3,3,20,9,'11/05/13');
INSERT INTO pedido VALUES(4,22,20,4,'1/05/13');
INSERT INTO pedido VALUES(5,26,26,7,'9/05/13');
INSERT INTO pedido VALUES(6,27,28,3,'30/05/13');
INSERT INTO pedido VALUES(7,10,15,1,'22/05/13');
INSERT INTO pedido VALUES(8,7,29,6,'7/05/13');
INSERT INTO pedido VALUES(9,16,14,6,'16/05/13');
INSERT INTO pedido VALUES(10,14,3,8,'5/05/13');
INSERT INTO pedido VALUES(11,7,7,9,'15/05/13');
INSERT INTO pedido VALUES(12,20,12,5,'12/05/13');
INSERT INTO pedido VALUES(13,8,29,3,'6/05/13');
INSERT INTO pedido VALUES(14,18,27,6,'15/05/13');
INSERT INTO pedido VALUES(15,9,17,9,'4/05/13');
INSERT INTO pedido VALUES(16,6,27,6,'29/05/13');
INSERT INTO pedido VALUES(17,5,13,7,'8/05/13');
INSERT INTO pedido VALUES(18,4,4,4,'6/05/13');
INSERT INTO pedido VALUES(19,4,2,8,'20/05/13');
INSERT INTO pedido VALUES(20,7,6,7,'23/05/13');
INSERT INTO pedido VALUES(21,26,14,5,'7/05/13');
INSERT INTO pedido VALUES(22,11,18,3,'12/05/13');
INSERT INTO pedido VALUES(23,27,17,8,'17/05/13');
INSERT INTO pedido VALUES(24,28,23,5,'22/05/13');
INSERT INTO pedido VALUES(25,19,25,7,'11/05/13');
INSERT INTO pedido VALUES(26,9,21,1,'9/05/13');
INSERT INTO pedido VALUES(27,20,20,1,'23/05/13');
INSERT INTO pedido VALUES(28,16,23,5,'19/05/13');
INSERT INTO pedido VALUES(29,27,5,6,'6/05/13');
INSERT INTO pedido VALUES(30,11,12,3,'13/05/13');
INSERT INTO pedido VALUES(31,30,2,1,'22/05/13');
INSERT INTO pedido VALUES(32,13,12,8,'1/05/13');
INSERT INTO pedido VALUES(33,4,3,8,'20/05/13');
INSERT INTO pedido VALUES(34,25,19,8,'22/05/13');
INSERT INTO pedido VALUES(35,15,8,8,'18/05/13');
INSERT INTO pedido VALUES(36,1,11,2,'17/05/13');
INSERT INTO pedido VALUES(37,8,10,10,'7/05/13');
INSERT INTO pedido VALUES(38,11,29,10,'25/05/13');
INSERT INTO pedido VALUES(39,22,24,8,'20/05/13');
INSERT INTO pedido VALUES(40,11,3,3,'12/05/13');
INSERT INTO pedido VALUES(41,2,19,10,'23/05/13');
INSERT INTO pedido VALUES(42,14,28,6,'5/05/13');
INSERT INTO pedido VALUES(43,29,6,10,'14/05/13');
INSERT INTO pedido VALUES(44,9,29,10,'26/05/13');
INSERT INTO pedido VALUES(45,18,11,4,'7/05/13');
INSERT INTO pedido VALUES(46,6,20,9,'28/05/13');
INSERT INTO pedido VALUES(47,13,4,8,'18/05/13');
INSERT INTO pedido VALUES(48,23,22,8,'14/05/13');
INSERT INTO pedido VALUES(49,6,1,6,'11/05/13');
INSERT INTO pedido VALUES(50,16,22,7,'12/05/13');
INSERT INTO pedido VALUES(51,10,14,2,'30/05/13');
INSERT INTO pedido VALUES(52,17,23,5,'27/05/13');
INSERT INTO pedido VALUES(53,22,8,1,'3/05/13');
INSERT INTO pedido VALUES(54,27,23,8,'23/05/13');
INSERT INTO pedido VALUES(55,9,20,4,'28/05/13');
INSERT INTO pedido VALUES(56,30,7,2,'12/05/13');
INSERT INTO pedido VALUES(57,8,5,7,'24/05/13');
INSERT INTO pedido VALUES(58,27,6,8,'8/05/13');
INSERT INTO pedido VALUES(59,19,19,9,'13/05/13');
INSERT INTO pedido VALUES(60,5,16,9,'11/05/13');
INSERT INTO pedido VALUES(61,6,23,4,'16/05/13');
INSERT INTO pedido VALUES(62,20,15,10,'4/05/13');
INSERT INTO pedido VALUES(63,30,12,3,'14/05/13');
INSERT INTO pedido VALUES(64,1,17,10,'5/05/13');
INSERT INTO pedido VALUES(65,20,25,4,'25/05/13');
INSERT INTO pedido VALUES(66,13,28,2,'16/05/13');
INSERT INTO pedido VALUES(67,2,26,6,'22/05/13');
INSERT INTO pedido VALUES(68,16,22,1,'1/05/13');
INSERT INTO pedido VALUES(69,7,2,6,'24/05/13');
INSERT INTO pedido VALUES(70,8,15,8,'19/05/13');
INSERT INTO pedido VALUES(71,14,22,6,'26/05/13');
INSERT INTO pedido VALUES(72,25,14,7,'14/05/13');
INSERT INTO pedido VALUES(73,11,14,6,'19/05/13');
INSERT INTO pedido VALUES(74,11,16,7,'11/05/13');
INSERT INTO pedido VALUES(75,14,8,5,'12/05/13');
INSERT INTO pedido VALUES(76,1,16,7,'16/05/13');
INSERT INTO pedido VALUES(77,22,27,3,'4/05/13');
INSERT INTO pedido VALUES(78,26,17,4,'11/05/13');
INSERT INTO pedido VALUES(79,10,5,7,'11/05/13');
INSERT INTO pedido VALUES(80,1,26,9,'21/05/13');
INSERT INTO pedido VALUES(81,10,6,4,'6/05/13');
INSERT INTO pedido VALUES(82,5,14,3,'26/05/13');
INSERT INTO pedido VALUES(83,9,17,7,'7/05/13');
INSERT INTO pedido VALUES(84,19,6,2,'17/05/13');
INSERT INTO pedido VALUES(85,21,12,2,'28/05/13');
INSERT INTO pedido VALUES(86,21,14,9,'13/05/13');
INSERT INTO pedido VALUES(87,3,25,8,'25/05/13');
INSERT INTO pedido VALUES(88,30,9,2,'7/05/13');
INSERT INTO pedido VALUES(89,25,6,10,'25/05/13');
INSERT INTO pedido VALUES(90,12,28,8,'26/05/13');
INSERT INTO pedido VALUES(91,10,24,5,'15/05/13');
INSERT INTO pedido VALUES(92,5,23,6,'10/05/13');
INSERT INTO pedido VALUES(93,29,25,2,'18/05/13');
INSERT INTO pedido VALUES(94,12,8,5,'29/05/13');
INSERT INTO pedido VALUES(95,1,16,8,'30/05/13');
INSERT INTO pedido VALUES(96,1,21,5,'28/05/13');
INSERT INTO pedido VALUES(97,11,3,4,'30/05/13');
INSERT INTO pedido VALUES(98,10,13,6,'3/05/13');
INSERT INTO pedido VALUES(99,15,18,9,'5/05/13');
INSERT INTO pedido VALUES(100,14,25,5,'2/05/13');
INSERT INTO pedido VALUES(101,26,28,2,'11/05/13');
INSERT INTO pedido VALUES(102,7,21,2,'8/05/13');
INSERT INTO pedido VALUES(103,30,29,9,'25/05/13');
INSERT INTO pedido VALUES(104,22,13,8,'28/05/13');
INSERT INTO pedido VALUES(105,14,26,4,'6/05/13');
INSERT INTO pedido VALUES(106,1,3,8,'13/05/13');
INSERT INTO pedido VALUES(107,25,11,8,'20/05/13');
INSERT INTO pedido VALUES(108,3,23,7,'29/05/13');
INSERT INTO pedido VALUES(109,15,3,6,'14/05/13');
INSERT INTO pedido VALUES(110,29,26,4,'13/05/13');
INSERT INTO pedido VALUES(111,16,7,6,'12/05/13');
INSERT INTO pedido VALUES(112,24,12,2,'17/05/13');
INSERT INTO pedido VALUES(113,2,22,3,'17/05/13');
INSERT INTO pedido VALUES(114,14,22,10,'14/05/13');
INSERT INTO pedido VALUES(115,27,1,8,'22/05/13');
INSERT INTO pedido VALUES(116,4,30,6,'13/05/13');
INSERT INTO pedido VALUES(117,30,10,5,'19/05/13');
INSERT INTO pedido VALUES(118,16,6,3,'25/05/13');
INSERT INTO pedido VALUES(119,17,14,8,'25/05/13');
INSERT INTO pedido VALUES(120,29,23,3,'23/05/13');
INSERT INTO pedido VALUES(121,29,19,3,'3/05/13');
INSERT INTO pedido VALUES(122,13,20,5,'12/05/13');
INSERT INTO pedido VALUES(123,8,22,6,'12/05/13');
INSERT INTO pedido VALUES(124,9,22,2,'8/05/13');
INSERT INTO pedido VALUES(125,7,24,8,'20/05/13');
INSERT INTO pedido VALUES(126,10,16,6,'7/05/13');
INSERT INTO pedido VALUES(127,22,25,8,'14/05/13');
INSERT INTO pedido VALUES(128,7,16,3,'16/05/13');
INSERT INTO pedido VALUES(129,17,18,5,'20/05/13');
INSERT INTO pedido VALUES(130,24,6,7,'3/05/13');
INSERT INTO pedido VALUES(131,8,30,9,'15/05/13');
INSERT INTO pedido VALUES(132,6,24,4,'16/05/13');
INSERT INTO pedido VALUES(133,20,10,9,'16/05/13');
INSERT INTO pedido VALUES(134,17,23,7,'28/05/13');
INSERT INTO pedido VALUES(135,20,26,2,'12/05/13');
INSERT INTO pedido VALUES(136,9,17,5,'18/05/13');
INSERT INTO pedido VALUES(137,26,16,10,'30/05/13');
INSERT INTO pedido VALUES(138,1,3,6,'12/05/13');
INSERT INTO pedido VALUES(139,6,4,7,'3/05/13');
INSERT INTO pedido VALUES(140,1,23,3,'8/05/13');
INSERT INTO pedido VALUES(141,12,15,3,'9/05/13');
INSERT INTO pedido VALUES(142,28,9,8,'7/05/13');
INSERT INTO pedido VALUES(143,27,22,6,'9/05/13');
INSERT INTO pedido VALUES(144,8,28,6,'19/05/13');
INSERT INTO pedido VALUES(145,21,13,1,'29/05/13');
INSERT INTO pedido VALUES(146,29,14,10,'22/05/13');
INSERT INTO pedido VALUES(147,16,20,1,'17/05/13');
INSERT INTO pedido VALUES(148,11,6,4,'23/05/13');
INSERT INTO pedido VALUES(149,18,20,7,'22/05/13');
INSERT INTO pedido VALUES(150,14,5,7,'4/05/13');
INSERT INTO pedido VALUES(151,12,4,7,'8/05/13');
INSERT INTO pedido VALUES(152,20,8,5,'11/05/13');
INSERT INTO pedido VALUES(153,8,13,3,'4/05/13');
INSERT INTO pedido VALUES(154,27,25,5,'27/05/13');
INSERT INTO pedido VALUES(155,14,11,2,'18/05/13');
INSERT INTO pedido VALUES(156,5,18,4,'24/05/13');
INSERT INTO pedido VALUES(157,5,13,10,'28/05/13');
INSERT INTO pedido VALUES(158,22,3,4,'7/05/13');
INSERT INTO pedido VALUES(159,10,4,5,'2/05/13');
INSERT INTO pedido VALUES(160,17,21,10,'4/05/13');
INSERT INTO pedido VALUES(161,24,13,10,'17/05/13');
INSERT INTO pedido VALUES(162,24,8,7,'6/05/13');
INSERT INTO pedido VALUES(163,23,8,8,'15/05/13');
INSERT INTO pedido VALUES(164,8,27,6,'14/05/13');
INSERT INTO pedido VALUES(165,14,8,4,'6/05/13');
INSERT INTO pedido VALUES(166,6,3,1,'3/05/13');
INSERT INTO pedido VALUES(167,25,15,10,'22/05/13');
INSERT INTO pedido VALUES(168,3,21,2,'20/05/13');
INSERT INTO pedido VALUES(169,19,29,4,'26/05/13');
INSERT INTO pedido VALUES(170,25,6,6,'21/05/13');
INSERT INTO pedido VALUES(171,24,29,1,'27/05/13');
INSERT INTO pedido VALUES(172,25,27,4,'29/05/13');
INSERT INTO pedido VALUES(173,16,13,4,'8/05/13');
INSERT INTO pedido VALUES(174,30,27,8,'15/05/13');
INSERT INTO pedido VALUES(175,10,3,10,'6/05/13');
INSERT INTO pedido VALUES(176,7,12,4,'4/05/13');
INSERT INTO pedido VALUES(177,11,3,5,'15/05/13');
INSERT INTO pedido VALUES(178,5,4,4,'27/05/13');
INSERT INTO pedido VALUES(179,24,8,6,'16/05/13');
INSERT INTO pedido VALUES(180,8,15,4,'19/05/13');
INSERT INTO pedido VALUES(181,15,4,5,'21/05/13');
INSERT INTO pedido VALUES(182,18,7,3,'10/05/13');
INSERT INTO pedido VALUES(183,25,19,3,'10/05/13');
INSERT INTO pedido VALUES(184,18,2,1,'8/05/13');
INSERT INTO pedido VALUES(185,14,23,8,'10/05/13');
INSERT INTO pedido VALUES(186,29,19,8,'13/05/13');
INSERT INTO pedido VALUES(187,18,30,2,'13/05/13');
INSERT INTO pedido VALUES(188,9,7,7,'19/05/13');
INSERT INTO pedido VALUES(189,2,29,9,'18/05/13');
INSERT INTO pedido VALUES(190,4,19,6,'10/05/13');
INSERT INTO pedido VALUES(191,23,18,7,'4/05/13');
INSERT INTO pedido VALUES(192,25,26,6,'4/05/13');
INSERT INTO pedido VALUES(193,28,10,2,'12/05/13');
INSERT INTO pedido VALUES(194,21,22,7,'11/05/13');
INSERT INTO pedido VALUES(195,5,4,8,'7/05/13');
INSERT INTO pedido VALUES(196,8,12,4,'7/05/13');
INSERT INTO pedido VALUES(197,14,14,5,'14/05/13');
INSERT INTO pedido VALUES(198,24,7,5,'15/05/13');
INSERT INTO pedido VALUES(199,24,17,7,'8/05/13');
INSERT INTO pedido VALUES(200,26,26,2,'20/05/13');
INSERT INTO pedido VALUES(201,8,9,5,'30/05/13');
INSERT INTO pedido VALUES(202,19,14,10,'6/05/13');
INSERT INTO pedido VALUES(203,26,6,9,'24/05/13');
INSERT INTO pedido VALUES(204,22,29,10,'1/05/13');
INSERT INTO pedido VALUES(205,19,4,2,'13/05/13');
INSERT INTO pedido VALUES(206,12,6,10,'15/05/13');
INSERT INTO pedido VALUES(207,1,17,5,'23/05/13');
INSERT INTO pedido VALUES(208,26,10,7,'23/05/13');
INSERT INTO pedido VALUES(209,25,14,9,'27/05/13');
INSERT INTO pedido VALUES(210,19,21,6,'24/05/13');
INSERT INTO pedido VALUES(211,21,21,7,'1/05/13');
INSERT INTO pedido VALUES(212,12,2,8,'27/05/13');
INSERT INTO pedido VALUES(213,13,17,4,'19/05/13');
INSERT INTO pedido VALUES(214,9,25,1,'6/05/13');
INSERT INTO pedido VALUES(215,15,26,10,'30/05/13');
INSERT INTO pedido VALUES(216,2,4,7,'17/05/13');
INSERT INTO pedido VALUES(217,7,2,5,'2/05/13');
INSERT INTO pedido VALUES(218,4,5,7,'29/05/13');
INSERT INTO pedido VALUES(219,25,3,9,'5/05/13');
INSERT INTO pedido VALUES(220,30,14,9,'10/05/13');
INSERT INTO pedido VALUES(221,11,25,6,'28/05/13');
INSERT INTO pedido VALUES(222,19,20,10,'26/05/13');
INSERT INTO pedido VALUES(223,22,27,9,'30/05/13');
INSERT INTO pedido VALUES(224,26,17,5,'30/05/13');
INSERT INTO pedido VALUES(225,1,11,9,'6/05/13');
INSERT INTO pedido VALUES(226,16,23,8,'20/05/13');
INSERT INTO pedido VALUES(227,14,26,7,'25/05/13');
INSERT INTO pedido VALUES(228,27,22,7,'10/05/13');
INSERT INTO pedido VALUES(229,12,4,7,'23/05/13');
INSERT INTO pedido VALUES(230,19,26,9,'7/05/13');
INSERT INTO pedido VALUES(231,24,16,6,'24/05/13');
INSERT INTO pedido VALUES(232,18,9,6,'14/05/13');
INSERT INTO pedido VALUES(233,28,14,3,'2/05/13');
INSERT INTO pedido VALUES(234,15,5,8,'6/05/13');
INSERT INTO pedido VALUES(235,24,26,1,'27/05/13');
INSERT INTO pedido VALUES(236,13,1,8,'1/05/13');
INSERT INTO pedido VALUES(237,4,21,10,'14/05/13');
INSERT INTO pedido VALUES(238,7,2,7,'28/05/13');
INSERT INTO pedido VALUES(239,13,14,7,'9/05/13');
INSERT INTO pedido VALUES(240,27,21,7,'28/05/13');
INSERT INTO pedido VALUES(241,23,10,5,'17/05/13');
INSERT INTO pedido VALUES(242,1,20,7,'1/05/13');
INSERT INTO pedido VALUES(243,14,27,9,'9/05/13');
INSERT INTO pedido VALUES(244,26,22,5,'30/05/13');
INSERT INTO pedido VALUES(245,5,29,9,'13/05/13');
INSERT INTO pedido VALUES(246,3,5,6,'10/05/13');
INSERT INTO pedido VALUES(247,14,1,4,'5/05/13');
INSERT INTO pedido VALUES(248,29,7,10,'5/05/13');
INSERT INTO pedido VALUES(249,8,30,4,'13/05/13');
INSERT INTO pedido VALUES(250,7,4,9,'11/05/13');
INSERT INTO pedido VALUES(251,29,16,2,'2/05/13');
INSERT INTO pedido VALUES(252,16,28,8,'17/05/13');
INSERT INTO pedido VALUES(253,20,1,5,'4/05/13');
INSERT INTO pedido VALUES(254,21,19,4,'9/05/13');
INSERT INTO pedido VALUES(255,16,4,5,'4/05/13');
INSERT INTO pedido VALUES(256,16,11,9,'7/05/13');
INSERT INTO pedido VALUES(257,15,7,1,'29/05/13');
INSERT INTO pedido VALUES(258,23,13,2,'10/05/13');
INSERT INTO pedido VALUES(259,15,8,2,'21/05/13');
INSERT INTO pedido VALUES(260,30,11,1,'16/05/13');
INSERT INTO pedido VALUES(261,6,7,7,'22/05/13');
INSERT INTO pedido VALUES(262,20,25,8,'18/05/13');
INSERT INTO pedido VALUES(263,30,13,1,'13/05/13');
INSERT INTO pedido VALUES(264,15,12,2,'9/05/13');
INSERT INTO pedido VALUES(265,4,5,5,'1/05/13');
INSERT INTO pedido VALUES(266,6,25,1,'12/05/13');
INSERT INTO pedido VALUES(267,3,26,7,'26/05/13');
INSERT INTO pedido VALUES(268,26,15,4,'27/05/13');
INSERT INTO pedido VALUES(269,1,2,5,'12/05/13');
INSERT INTO pedido VALUES(270,17,23,3,'6/05/13');
INSERT INTO pedido VALUES(271,2,27,7,'18/05/13');
INSERT INTO pedido VALUES(272,16,25,4,'19/05/13');
INSERT INTO pedido VALUES(273,16,14,3,'14/05/13');
INSERT INTO pedido VALUES(274,30,2,3,'23/05/13');
INSERT INTO pedido VALUES(275,24,25,5,'5/05/13');
INSERT INTO pedido VALUES(276,14,29,10,'7/05/13');
INSERT INTO pedido VALUES(277,9,11,3,'23/05/13');
INSERT INTO pedido VALUES(278,20,30,3,'2/05/13');
INSERT INTO pedido VALUES(279,10,12,8,'11/05/13');
INSERT INTO pedido VALUES(280,3,23,1,'26/05/13');
INSERT INTO pedido VALUES(281,8,15,1,'17/05/13');
INSERT INTO pedido VALUES(282,10,6,10,'11/05/13');
INSERT INTO pedido VALUES(283,11,14,6,'10/05/13');
INSERT INTO pedido VALUES(284,27,2,1,'28/05/13');
INSERT INTO pedido VALUES(285,21,23,10,'15/05/13');
INSERT INTO pedido VALUES(286,6,29,4,'2/05/13');
INSERT INTO pedido VALUES(287,10,24,3,'29/05/13');
INSERT INTO pedido VALUES(288,19,24,1,'16/05/13');
INSERT INTO pedido VALUES(289,28,1,9,'27/05/13');
INSERT INTO pedido VALUES(290,15,28,2,'25/05/13');
INSERT INTO pedido VALUES(291,29,23,10,'13/05/13');
INSERT INTO pedido VALUES(292,16,27,9,'24/05/13');
INSERT INTO pedido VALUES(293,11,7,6,'8/05/13');
INSERT INTO pedido VALUES(294,18,4,6,'7/05/13');
INSERT INTO pedido VALUES(295,18,3,6,'18/05/13');
INSERT INTO pedido VALUES(296,1,27,5,'23/05/13');
INSERT INTO pedido VALUES(297,30,23,3,'9/05/13');
INSERT INTO pedido VALUES(298,12,10,4,'27/05/13');
INSERT INTO pedido VALUES(299,6,25,1,'21/05/13');
INSERT INTO pedido VALUES(300,15,4,4,'3/05/13');
INSERT INTO pedido VALUES(301,1,2,10,'29/05/13');
INSERT INTO pedido VALUES(302,12,29,8,'3/05/13');
INSERT INTO pedido VALUES(303,23,30,7,'4/05/13');
INSERT INTO pedido VALUES(304,12,19,9,'13/05/13');
INSERT INTO pedido VALUES(305,7,17,1,'8/05/13');
INSERT INTO pedido VALUES(306,9,14,7,'27/05/13');
INSERT INTO pedido VALUES(307,18,17,7,'6/05/13');
INSERT INTO pedido VALUES(308,16,20,6,'18/05/13');
INSERT INTO pedido VALUES(309,9,30,8,'1/05/13');
INSERT INTO pedido VALUES(310,27,24,1,'17/05/13');
INSERT INTO pedido VALUES(311,1,14,8,'4/05/13');
INSERT INTO pedido VALUES(312,25,27,3,'9/05/13');
INSERT INTO pedido VALUES(313,30,22,7,'12/05/13');
INSERT INTO pedido VALUES(314,25,18,7,'21/05/13');
INSERT INTO pedido VALUES(315,29,11,3,'2/05/13');
INSERT INTO pedido VALUES(316,1,6,6,'28/05/13');
INSERT INTO pedido VALUES(317,10,21,8,'8/05/13');
INSERT INTO pedido VALUES(318,13,25,5,'21/05/13');
INSERT INTO pedido VALUES(319,24,24,2,'5/05/13');
INSERT INTO pedido VALUES(320,27,10,2,'19/05/13');
INSERT INTO pedido VALUES(321,7,12,10,'10/05/13');
INSERT INTO pedido VALUES(322,11,14,1,'21/05/13');
INSERT INTO pedido VALUES(323,9,8,4,'24/05/13');
INSERT INTO pedido VALUES(324,15,28,8,'11/05/13');
INSERT INTO pedido VALUES(325,20,9,2,'17/05/13');
INSERT INTO pedido VALUES(326,22,27,2,'2/05/13');
INSERT INTO pedido VALUES(327,20,29,3,'1/05/13');
INSERT INTO pedido VALUES(328,28,17,8,'24/05/13');
INSERT INTO pedido VALUES(329,5,13,7,'20/05/13');
INSERT INTO pedido VALUES(330,14,21,4,'6/05/13');
INSERT INTO pedido VALUES(331,24,9,4,'26/05/13');
INSERT INTO pedido VALUES(332,30,30,2,'17/05/13');
INSERT INTO pedido VALUES(333,13,12,9,'7/05/13');
INSERT INTO pedido VALUES(334,18,24,8,'2/05/13');
INSERT INTO pedido VALUES(335,16,23,2,'26/05/13');
INSERT INTO pedido VALUES(336,20,14,6,'16/05/13');
INSERT INTO pedido VALUES(337,23,14,5,'7/05/13');
INSERT INTO pedido VALUES(338,19,27,4,'28/05/13');
INSERT INTO pedido VALUES(339,6,6,2,'19/05/13');
INSERT INTO pedido VALUES(340,2,15,9,'23/05/13');
INSERT INTO pedido VALUES(341,17,6,8,'13/05/13');
INSERT INTO pedido VALUES(342,23,18,8,'23/05/13');
INSERT INTO pedido VALUES(343,3,26,6,'23/05/13');
INSERT INTO pedido VALUES(344,13,13,1,'30/05/13');
INSERT INTO pedido VALUES(345,7,3,10,'24/05/13');
INSERT INTO pedido VALUES(346,12,16,1,'29/05/13');
INSERT INTO pedido VALUES(347,9,29,9,'12/05/13');
INSERT INTO pedido VALUES(348,23,12,4,'5/05/13');
INSERT INTO pedido VALUES(349,17,25,7,'21/05/13');
INSERT INTO pedido VALUES(350,4,14,3,'21/05/13');
INSERT INTO pedido VALUES(351,15,17,5,'9/05/13');
INSERT INTO pedido VALUES(352,6,11,7,'12/05/13');
INSERT INTO pedido VALUES(353,17,14,1,'23/05/13');
INSERT INTO pedido VALUES(354,16,6,4,'21/05/13');
INSERT INTO pedido VALUES(355,26,8,7,'23/05/13');
INSERT INTO pedido VALUES(356,3,9,4,'21/05/13');
INSERT INTO pedido VALUES(357,10,5,4,'30/05/13');
INSERT INTO pedido VALUES(358,1,12,4,'9/05/13');
INSERT INTO pedido VALUES(359,9,4,5,'25/05/13');
INSERT INTO pedido VALUES(360,2,17,2,'21/05/13');
INSERT INTO pedido VALUES(361,22,3,8,'7/05/13');
INSERT INTO pedido VALUES(362,20,11,1,'8/05/13');
INSERT INTO pedido VALUES(363,16,17,10,'10/05/13');
INSERT INTO pedido VALUES(364,15,16,1,'21/05/13');
INSERT INTO pedido VALUES(365,6,19,7,'27/05/13');
INSERT INTO pedido VALUES(366,30,22,10,'30/05/13');
INSERT INTO pedido VALUES(367,17,6,7,'10/05/13');
INSERT INTO pedido VALUES(368,30,1,4,'21/05/13');
INSERT INTO pedido VALUES(369,26,25,8,'8/05/13');
INSERT INTO pedido VALUES(370,27,1,9,'3/05/13');
INSERT INTO pedido VALUES(371,5,25,2,'13/05/13');
INSERT INTO pedido VALUES(372,20,17,4,'4/05/13');
INSERT INTO pedido VALUES(373,11,10,2,'26/05/13');
INSERT INTO pedido VALUES(374,17,5,7,'11/05/13');
INSERT INTO pedido VALUES(375,12,15,8,'10/05/13');
INSERT INTO pedido VALUES(376,23,28,3,'7/05/13');
INSERT INTO pedido VALUES(377,21,6,10,'13/05/13');
INSERT INTO pedido VALUES(378,1,25,4,'20/05/13');
INSERT INTO pedido VALUES(379,14,11,8,'10/05/13');
INSERT INTO pedido VALUES(380,22,21,2,'5/05/13');
INSERT INTO pedido VALUES(381,18,16,6,'2/05/13');
INSERT INTO pedido VALUES(382,15,26,3,'21/05/13');
INSERT INTO pedido VALUES(383,18,27,4,'4/05/13');
INSERT INTO pedido VALUES(384,7,9,7,'23/05/13');
INSERT INTO pedido VALUES(385,12,25,5,'23/05/13');
INSERT INTO pedido VALUES(386,22,13,5,'22/05/13');
INSERT INTO pedido VALUES(387,25,25,1,'16/05/13');
INSERT INTO pedido VALUES(388,18,23,6,'13/05/13');
INSERT INTO pedido VALUES(389,28,7,6,'9/05/13');
INSERT INTO pedido VALUES(390,7,3,4,'13/05/13');
